locid,Longitude,Latitude
1,140.6425,43.26306
2,140.76025,43.12115
3,140.7928,43.18733
4,140.82803,43.07365
5,141.64388,43.05737
6,141.89056,43.42291
7,141.97917,43.47768
8,141.80822,42.97851
9,141.70068,43.00244
10,141.80901,43.04441
11,141.68011,43.33842
12,141.81805,43.42692
13,141.86172,43.5455
14,141.96279,43.694
15,141.9607,43.7685
16,141.89006,43.65711
17,141.87349,43.74058
18,141.94003,43.80836
19,142.16382,44.05265
20,142.34781,43.8473
21,142.45942,43.69309
22,142.52331,43.83032
23,142.48493,43.87942
24,142.59841,43.90162
25,141.70111,44.35861
26,141.78315,44.52335
27,141.81006,44.71854
28,141.77984,44.88754
29,141.85333,45.01555
30,142.15047,45.31023
31,142.365,45.11309
32,142.29112,44.95201
33,142.55185,44.85065
34,141.76401,45.11281
35,141.04099,45.38555
36,141.16217,45.16553
37,141.24995,45.20407
38,144.11786,43.82026
39,144.02779,43.69412
40,144.67444,43.90917
41,144.57948,43.81439
42,144.47778,43.8627
43,143.74481,43.72702
44,143.59254,43.6776
45,143.78651,44.02479
46,143.48322,44.02604
47,143.5795,44.1624
48,143.64647,44.18849
49,143.08214,44.187
50,143.14484,44.45482
51,142.93482,44.3296
52,142.95943,44.58144
53,144.21072,43.87656
54,140.68269,42.59263
55,140.90561,42.56567
56,141.31688,42.53035
57,142.94718,42.1268
58,143.19492,42.01024
59,142.4775,42.34633
60,143.20597,42.98204
61,143.24859,43.1587
62,143.29709,43.24064
63,143.00956,43.12033
64,142.85197,43.09485
65,142.90458,42.99754
66,143.05348,42.90257
67,143.1311,42.6849
68,143.20409,42.64173
69,143.28914,42.49181
70,143.31285,42.30274
71,143.3073,42.83941
72,143.45094,42.93993
73,143.51868,42.78866
74,143.58697,43.13409
75,143.5661,43.26182
76,143.73643,43.46999
77,143.66186,42.84544
78,144.44135,43.00724
79,144.85139,43.04944
80,145.08881,43.11062
81,144.59559,43.30922
82,144.44929,43.51866
83,144.31458,43.21841
84,144.09383,42.97195
85,145.02146,43.41066
86,144.95937,43.54558
87,145.09664,43.6667
88,145.18401,44.00841
89,141.33372,42.98554
90,140.75713,41.79702
91,142.38224,43.77339
92,143.18249,42.90652
93,143.86596,43.81528
94,142.01147,43.00449
95,141.74442,43.19681
96,144.26314,44.00283
97,141.65806,43.932
98,141.59449,42.63694
99,141.67667,45.41361
100,141.8625,43.32431
101,142.19365,43.50948
102,142.06123,43.55179
103,143.34826,44.34051
